iter	Passed	Remaining
0	2	272
1	5	275
2	8	258
3	9	238
4	12	237
5	14	230
6	17	227
7	19	227
8	22	223
9	24	220
10	26	218
11	29	215
12	31	212
13	33	208
14	35	202
15	37	196
16	38	189
17	40	183
18	41	178
19	43	172
20	44	166
21	45	162
22	46	157
23	48	155
24	49	149
25	51	145
26	52	141
27	53	137
28	54	132
29	55	129
30	56	125
31	57	121
32	58	118
33	59	114
34	60	111
35	61	108
36	62	105
37	63	103
38	64	101
39	65	98
40	66	95
41	66	92
42	67	90
43	68	87
44	69	85
45	70	83
46	71	81
47	72	79
48	73	76
49	74	74
50	75	72
51	77	71
52	78	69
53	79	67
54	79	65
55	80	63
56	82	61
57	83	60
58	84	58
59	85	56
60	86	55
61	87	53
62	88	52
63	89	50
64	90	48
65	92	47
66	93	46
67	94	44
68	95	42
69	96	41
70	97	39
71	98	38
72	99	36
73	100	35
74	101	33
75	102	32
76	103	30
77	105	29
78	106	28
79	107	26
80	108	25
81	110	24
82	111	22
83	112	21
84	113	20
85	115	18
86	116	17
87	117	16
88	118	14
89	119	13
90	120	11
91	122	10
92	123	9
93	125	7
94	127	6
95	130	5
96	131	4
97	132	2
98	133	1
99	135	0
