iter	Passed	Remaining
0	192	192071
1	193	96414
2	194	64487
3	194	48522
4	195	38997
5	197	32758
6	198	28204
7	199	24764
8	200	22097
9	201	19957
10	202	18206
11	203	16765
12	204	15537
13	205	14474
14	206	13549
15	207	12744
16	208	12028
17	208	11394
18	209	10839
19	211	10365
20	212	9906
21	213	9488
22	214	9108
23	215	8754
24	216	8433
25	217	8135
26	218	7857
27	218	7601
28	219	7360
29	220	7138
30	221	6929
31	222	6732
32	223	6546
33	224	6375
34	225	6228
35	226	6074
36	227	5925
37	228	5783
38	229	5649
39	230	5524
40	231	5404
41	232	5292
42	233	5186
43	233	5082
44	234	4983
45	235	4889
46	236	4798
47	237	4710
48	238	4636
49	240	4578
50	241	4501
51	242	4426
52	243	4354
53	244	4285
54	245	4219
55	246	4155
56	247	4094
57	248	4034
58	249	3975
59	250	3918
60	251	3864
61	252	3812
62	254	3780
63	255	3732
64	256	3685
65	257	3641
66	258	3596
67	259	3552
68	260	3512
69	261	3471
70	262	3430
71	263	3390
72	263	3352
73	264	3314
74	265	3278
75	266	3245
76	268	3218
77	269	3184
78	270	3153
79	271	3119
80	272	3088
81	273	3058
82	273	3023
83	274	2993
84	275	2964
85	276	2937
86	277	2911
87	278	2883
88	279	2857
89	280	2831
90	280	2805
91	282	2784
92	283	2762
93	284	2738
94	284	2714
95	285	2690
96	286	2670
97	287	2649
98	288	2628
99	289	2606
100	290	2586
101	291	2566
102	292	2548
103	293	2529
104	294	2511
105	295	2492
106	297	2482
107	298	2464
108	299	2447
109	300	2429
110	301	2411
111	302	2395
112	303	2378
113	303	2362
114	304	2346
115	305	2329
116	306	2313
117	307	2298
118	308	2282
119	309	2267
120	310	2252
121	311	2238
122	312	2226
123	313	2212
124	313	2197
125	314	2184
126	315	2169
127	316	2156
128	317	2144
129	318	2130
130	319	2116
131	320	2104
132	320	2092
133	321	2079
134	322	2067
135	323	2055
136	324	2043
137	325	2032
138	326	2022
139	327	2011
140	328	1999
141	328	1986
142	329	1975
143	330	1964
144	331	1954
145	332	1943
146	333	1933
147	333	1922
148	334	1912
149	335	1902
150	336	1892
151	337	1882
152	338	1872
153	339	1863
154	340	1853
155	341	1846
156	342	1840
157	343	1831
158	344	1821
159	345	1813
160	345	1802
161	346	1793
162	347	1785
163	348	1777
164	349	1769
165	350	1761
166	351	1753
167	352	1745
168	353	1737
169	354	1729
170	355	1722
171	356	1717
172	357	1709
173	358	1702
174	359	1694
175	360	1686
176	361	1679
177	361	1671
178	362	1664
179	363	1656
180	364	1649
181	365	1642
182	366	1635
183	367	1628
184	367	1621
185	368	1614
186	369	1607
187	371	1606
188	372	1600
189	373	1593
190	374	1586
191	375	1580
192	376	1573
193	377	1568
194	378	1563
195	379	1557
196	380	1551
197	381	1545
198	382	1539
199	383	1532
200	384	1527
201	385	1521
202	386	1516
203	387	1512
204	388	1506
205	389	1500
206	390	1494
207	390	1488
208	391	1482
209	392	1477
210	393	1471
211	394	1466
212	395	1460
213	396	1455
214	397	1449
215	398	1444
216	398	1439
217	399	1433
218	400	1429
219	401	1424
220	402	1419
221	403	1413
222	404	1408
223	405	1403
224	405	1398
225	406	1393
226	407	1388
227	408	1384
228	409	1379
229	410	1374
230	411	1369
231	412	1364
232	413	1360
233	414	1355
234	414	1350
235	416	1346
236	416	1342
237	417	1337
238	418	1332
239	419	1328
240	420	1324
241	421	1320
242	422	1315
243	423	1311
244	424	1306
245	424	1302
246	425	1297
247	426	1293
248	427	1288
249	428	1284
250	429	1280
251	430	1276
252	431	1273
253	432	1269
254	433	1265
255	433	1261
256	434	1256
257	435	1252
258	436	1248
259	437	1244
260	438	1240
261	439	1236
262	439	1233
263	440	1229
264	441	1225
265	442	1221
266	443	1217
267	444	1213
268	445	1209
269	446	1207
270	447	1203
271	448	1199
272	449	1195
273	449	1192
274	450	1188
275	451	1184
276	452	1181
277	453	1177
278	454	1173
279	454	1169
280	455	1165
281	456	1162
282	457	1158
283	458	1155
284	459	1151
285	460	1148
286	461	1145
287	461	1141
288	462	1138
289	463	1135
290	464	1132
291	465	1128
292	466	1125
293	467	1122
294	468	1118
295	468	1115
296	469	1112
297	470	1109
298	471	1105
299	472	1102
300	473	1099
301	474	1096
302	475	1093
303	476	1091
304	477	1088
305	478	1085
306	479	1081
307	480	1078
308	481	1075
309	482	1073
310	482	1069
311	483	1066
312	484	1063
313	485	1060
314	486	1057
315	487	1054
316	488	1051
317	489	1048
318	489	1045
319	491	1044
320	492	1041
321	493	1038
322	494	1035
323	494	1032
324	495	1029
325	496	1026
326	497	1024
327	498	1021
328	499	1018
329	500	1015
330	501	1012
331	502	1010
332	502	1007
333	503	1004
334	504	1002
335	506	1000
336	507	997
337	507	994
338	508	992
339	509	989
340	510	986
341	511	984
342	512	981
343	513	979
344	514	976
345	515	974
346	516	971
347	517	968
348	517	966
349	518	963
350	519	960
351	520	958
352	521	956
353	522	953
354	523	950
355	524	948
356	524	945
357	526	943
358	526	940
359	527	938
360	528	935
361	529	933
362	530	931
363	531	928
364	532	926
365	533	923
366	534	921
367	535	919
368	536	917
369	537	914
370	537	912
371	538	909
372	539	907
373	540	904
374	541	902
375	542	899
376	542	897
377	543	894
378	544	892
379	545	890
380	546	888
381	547	885
382	548	883
383	549	881
384	550	879
385	551	877
386	552	875
387	553	872
388	554	870
389	554	868
390	555	865
391	556	863
392	557	860
393	558	858
394	558	855
395	559	853
396	560	851
397	561	848
398	562	846
399	562	844
400	563	841
401	564	839
402	565	837
403	567	836
404	568	834
405	568	832
406	569	830
407	571	828
408	573	828
409	574	826
410	575	824
411	576	822
412	577	820
413	578	818
414	579	816
415	580	814
416	581	813
417	582	810
418	583	809
419	584	806
420	585	804
421	586	802
422	586	800
423	587	798
424	588	796
425	589	794
426	590	791
427	590	789
428	591	787
429	592	785
430	593	783
431	595	782
432	596	781
433	597	779
434	598	777
435	599	775
436	600	773
437	601	771
438	602	769
439	603	767
440	604	765
441	605	763
442	605	761
443	606	759
444	608	758
445	609	756
446	610	755
447	611	753
448	612	752
449	613	750
450	614	748
451	615	746
452	616	744
453	617	742
454	618	740
455	619	739
456	620	737
457	621	735
458	622	733
459	623	731
460	624	729
461	626	729
462	627	727
463	628	726
464	629	724
465	630	722
466	631	720
467	632	718
468	633	717
469	634	715
470	635	713
471	636	711
472	637	709
473	637	707
474	638	706
475	640	704
476	641	703
477	642	701
478	643	699
479	644	697
480	645	696
481	646	694
482	647	692
483	648	691
484	649	689
485	650	687
486	651	685
487	651	684
488	652	682
489	653	680
490	655	679
491	657	678
492	658	676
493	659	675
494	660	673
495	661	671
496	662	670
497	662	668
498	664	666
499	664	664
500	665	663
501	666	661
502	667	659
503	668	658
504	669	656
505	671	655
506	672	653
507	673	652
508	674	650
509	675	648
510	676	647
511	677	645
512	678	644
513	679	642
514	680	640
515	681	639
516	682	637
517	683	635
518	684	634
519	685	632
520	686	631
521	687	629
522	688	627
523	689	626
524	690	624
525	691	622
526	692	621
527	693	619
528	694	618
529	695	617
530	696	615
531	697	613
532	698	612
533	700	611
534	701	609
535	702	608
536	703	606
537	704	605
538	705	603
539	706	601
540	707	599
541	708	598
542	708	596
543	709	595
544	710	593
545	711	591
546	712	590
547	714	589
548	715	587
549	716	586
550	717	584
551	718	582
552	719	581
553	720	579
554	721	578
555	722	576
556	723	575
557	724	573
558	725	572
559	726	570
560	726	568
561	727	567
562	729	565
563	730	564
564	730	562
565	731	561
566	732	559
567	733	558
568	734	556
569	735	555
570	736	553
571	737	552
572	738	550
573	739	548
574	740	547
575	741	545
576	742	544
577	744	543
578	745	542
579	746	540
580	747	538
581	748	537
582	749	535
583	750	534
584	751	533
585	752	531
